fid,District,TU_Name
1,Kasaragod,Kasaragod_TU
2,Kasaragod,Panathady_TU
3,Kasaragod,Kanhangad_TU
4,Kannur,Payannur_TU
5,Kannur,Taliparamba_TU
6,Kannur,DTC_Kannur_TU
7,Kannur,Iritty_TU
8,Kannur,Kuthuparamba_TU
9,Kannur,Thalassery_TU
10,Wayanad,DTC_TU_Wayanad
11,Wayanad,Bathery_TU
12,Wayanad,Kalpetta_TU
13,Kozhikode,Vadakara_TU
14,Kozhikode,Koyilandy_TU
15,Kozhikode,Balusseri_TU
16,Kozhikode,Mukkam_TU
17,Kozhikode,MCH_TU_Kozhikode
18,Kozhikode,DTC_TU_Kozhikode
19,Malappuram,Chungathara_TU
20,Malappuram,Kondotty_TU
21,Malappuram,DTC_TU_Malappuram
22,Malappuram,Vengara_TU
23,Malappuram,Perinthalmanna_TU
24,Malappuram,Valanchery_TU
25,Malappuram,DH_TU_Tirur
26,Malappuram,Ponnani_TU
27,Palakkad,Attappadi_TU
28,Palakkad,Mannarkkad_TU
29,Palakkad,Ottapalam_TU
30,Palakkad,Pattambi_TU
31,Palakkad,Palakkad_TU
32,Palakkad,Chittur_TU
33,Palakkad,Alathur_TU
34,Thrissur,Wadakkanchery_TU
35,Thrissur,Chavakkad_TU
36,Thrissur,DTC_TU_Thrissur
37,Thrissur,Irungalakkuda_TU
38,Thrissur,Chalakudy_TU
39,Thrissur,Kodungalloor_TU
40,Ernakulam,Angamaly_TU
41,Ernakulam,Perumbavoor_TU
42,Ernakulam,Kothamangalam_TU
43,Ernakulam,THQH_N_Parur_TU
44,Ernakulam,Aluva_TU
45,Ernakulam,GH Ernakulam_TU
46,Ernakulam,"DTC_TU_Kochi
"
47,Ernakulam,Muvattupuzha_TU
48,Idukki,Adimali_TU
49,Idukki,Painavu_TU
50,Idukki,Thodupuzha_TU
51,Idukki,Vandanmedu_TU
52,Kottayam,Vaikom_TU
53,Kottayam,Kuravilangad_TU
54,Kottayam,Pala_TU
55,Kottayam,Kottayam_TU
56,Kottayam,Kanjirappally_TU
57,Kottayam,Changanasserry_TU
58,Alappuzha,CHERTHALA_TU
59,Alappuzha,DTC_TU_ALAPPUZHA
60,Alappuzha,KARUVATTA_TU
61,Alappuzha,MAVELIKKARA_TU
62,Pathanamthitta,THIRUVALLA_TU
63,Pathanamthitta,DTC_TU_Kozhenchery
64,Pathanamthitta,RANNI_TU
65,Pathanamthitta,ADOOR_TU
66,Kollam,Karunagappally_TU
67,Kollam,Kottarakkara_TU
68,Kollam,Punalur_TU
69,Kollam,DTC_TU_ Kollam
70,Kollam,Nedungolam_TU
71,Thiruvananthapuram,Chirayinkeezhu_TU
72,Thiruvananthapuram,Nedumangadu_TU
73,Thiruvananthapuram,Puthenthope_TU
74,Thiruvananthapuram,Peroorkada_TU
75,Thiruvananthapuram,DTC_TU_TVM
76,Thiruvananthapuram,Nemom_TU
77,Thiruvananthapuram,Neyyattinkara_TU
